,tot_vap_20,bvap_20,hvap_20,asian_nhpi_vap_20,amin_vap_20,other_vap_20,white_vap_20,tot_pop_20,bpop_20,hpop_20,asian_nhpi_pop_20,amin_pop_20,other_pop_20,white_pop_20,pres_08_dem,pres_08_rep,pres_12_dem,pres_12_rep,pres_16_dem,pres_16_rep,sen_16_dem,sen_16_rep,gov_18_dem,gov_18_rep,ag_18_dem,ag_18_rep,pres_20_dem,pres_20_rep,sen_20_dem,sen_20_rep
vtd:08031031934,1272,252,141,120,15,13,731,1549,357,181,141,17,16,837,450,249,478,255,464,194,469,205,494,159,473,189,639,208,630,223
vtd:08031031937,1500,77,139,95,21,20,1148,1660,89,164,106,21,20,1260,411,354,316,341,552,335,553,355,566,327,532,349,733,369,690,406
vtd:08031031923,2830,428,960,154,42,16,1230,3794,626,1467,189,44,24,1444,722,373,849,389,739,336,732,348,643,301,620,338,892,340,859,375
vtd:08031031938,1941,120,162,134,15,37,1473,2116,138,179,153,22,37,1587,290,220,391,372,515,357,512,357,591,323,578,328,831,429,807,464
vtd:08031031715,1844,384,1215,37,17,12,179,2768,588,1889,47,24,16,204,549,58,742,68,617,89,582,97,459,77,456,77,664,120,671,114
vtd:08031031716,1799,257,1310,57,8,13,154,2703,352,2050,74,14,20,193,445,63,514,55,525,80,515,93,374,73,374,75,583,105,588,97
vtd:08031031720,2374,629,1368,145,10,13,209,3462,826,2130,228,11,18,249,611,44,767,68,602,64,575,87,475,57,463,67,621,75,601,82
vtd:08031031717,1762,413,1114,46,9,10,170,2617,610,1733,62,9,14,189,504,54,592,57,600,76,601,75,493,72,492,75,696,119,695,104
vtd:08031031728,4290,879,1975,328,36,18,1054,5853,1270,2871,442,43,22,1205,561,160,669,166,616,160,587,188,692,161,690,166,1432,393,1400,397
vtd:08031031725,1764,456,1068,74,7,7,152,2570,668,1589,87,8,15,203,525,57,647,57,589,79,559,105,482,60,481,70,722,113,724,102
vtd:08031031726,1801,592,915,100,19,11,164,2604,774,1419,140,36,19,216,572,68,627,61,629,65,600,94,541,68,546,68,771,92,748,106
vtd:08031031735,1354,421,512,64,15,7,335,1907,611,786,99,16,7,388,427,110,572,132,585,143,575,152,505,123,488,143,643,167,640,170
vtd:08031031736,1268,377,525,159,17,2,188,1738,513,751,225,18,7,224,373,97,526,133,485,126,491,136,423,101,422,110,548,171,544,175
vtd:08031031706,1136,51,89,70,12,18,896,1635,71,148,136,16,21,1243,654,168,655,206,808,93,780,137,806,123,773,136,914,113,888,157
vtd:08031031648,1524,252,189,72,17,9,985,1787,342,249,82,26,9,1079,599,209,669,235,742,204,720,231,727,208,698,226,924,215,904,241
vtd:08031031705,2266,149,244,135,5,55,1678,2725,186,313,175,14,63,1974,354,80,931,306,789,177,764,229,927,188,899,222,1298,248,1246,287
vtd:08031031631,2582,427,394,121,21,21,1598,3198,634,525,164,24,32,1819,948,472,1005,409,1110,271,1078,332,954,220,926,243,1335,253,1272,308
vtd:08031031649,3356,852,571,179,57,26,1671,4257,1239,736,244,65,35,1938,889,242,1077,306,923,260,918,262,845,173,834,184,1155,325,1125,343
vtd:08031031727,1768,324,1002,157,4,11,270,2627,494,1570,215,4,15,329,292,60,606,154,653,132,654,138,539,122,535,119,802,200,810,184
vtd:08031031651,2514,437,564,161,41,39,1272,2928,559,707,205,44,42,1371,594,239,877,427,627,246,616,247,585,166,571,171,975,266,922,302
vtd:08031031922,2524,335,374,180,35,18,1582,2823,381,471,199,45,20,1707,919,411,901,424,943,377,927,400,844,307,819,324,1091,355,1056,379
vtd:08031031840,594,31,54,35,5,9,460,939,45,101,66,7,22,698,333,71,353,97,391,80,390,98,408,85,389,100,487,78,478,90
vtd:08031031730,2428,700,710,233,17,21,747,3249,971,1049,324,26,31,848,503,144,641,172,811,270,813,306,823,294,802,311,1297,428,1276,444
vtd:08031031732,1293,494,439,160,11,7,182,1858,739,661,213,14,9,222,350,94,629,163,556,126,547,131,475,82,479,99,667,123,645,136
vtd:08031031839,590,41,44,66,3,12,424,973,69,82,134,7,22,659,347,77,369,105,414,66,406,83,403,69,387,88,483,51,475,67
vtd:08031031708,3648,495,708,133,97,26,2189,4608,614,802,203,109,41,2839,707,190,807,270,1014,168,987,226,998,197,960,213,1265,185,1254,218
vtd:08031031620,1915,41,124,93,7,25,1625,1982,43,125,98,8,26,1682,513,254,549,353,655,297,630,306,664,252,656,261,880,355,854,379
vtd:08031031513,5923,157,460,354,59,153,4740,6085,166,500,375,60,155,4829,692,284,480,331,1332,403,1271,511,1588,458,1557,460,2893,769,2765,897
vtd:08031031219,3561,87,247,145,24,44,3014,3721,97,270,151,24,51,3128,1125,330,1089,406,1144,287,1087,354,1371,345,1329,357,1691,363,1618,437
vtd:08031031207,1730,99,191,61,20,29,1330,1771,109,198,62,24,30,1348,835,139,861,169,897,148,864,156,912,134,884,134,1049,139,1037,146
vtd:08031031713,1281,162,140,66,9,16,888,1922,245,220,113,22,23,1299,434,87,569,154,699,91,680,147,695,128,671,141,927,122,879,178
vtd:08031031924,3501,762,964,553,63,26,1133,4431,1019,1349,732,69,46,1216,464,116,628,181,637,149,631,167,468,94,463,84,797,173,775,191
vtd:08031031645,1117,131,61,15,8,13,889,1126,132,64,16,8,13,893,365,229,223,134,517,282,565,267,554,234,532,269,696,250,671,270
vtd:08031031530,171,22,25,9,11,0,104,171,22,25,9,11,0,104,69,9,85,15,68,8,62,13,67,4,64,5,73,16,75,12
vtd:08031031601,685,17,61,25,16,9,557,824,22,77,37,19,17,652,432,114,413,92,445,66,425,78,438,69,429,71,491,67,482,84
vtd:08031031641,1713,120,229,95,28,43,1198,2119,180,304,123,30,53,1429,734,276,662,276,793,284,780,315,790,250,751,282,995,302,958,330
vtd:08031031624,1364,46,115,45,20,17,1121,1800,74,165,79,26,25,1431,759,300,716,416,814,273,800,323,743,312,733,325,933,268,895,320
vtd:08031031647,1544,183,226,90,27,19,999,1961,277,320,111,40,20,1193,668,247,641,244,660,216,638,244,679,205,663,219,848,249,834,264
vtd:08031031519,2402,189,319,91,48,26,1729,2604,255,360,98,53,30,1808,408,140,500,240,667,222,614,267,632,166,612,162,984,197,952,223
vtd:08031031517,969,48,65,52,16,13,775,1009,56,74,52,16,14,797,325,154,338,211,460,196,455,207,435,184,422,185,568,200,556,219
vtd:08031031709,848,260,107,17,15,14,435,1058,332,155,24,16,20,511,517,47,599,59,576,41,575,49,573,45,577,48,660,45,655,51
vtd:08031031836,1562,183,222,68,24,27,1038,1935,241,268,92,36,36,1262,799,191,871,256,886,152,860,182,825,122,799,145,926,111,899,143
vtd:08031031606,1047,62,94,26,19,17,829,1207,75,101,31,20,17,963,562,131,628,158,688,117,681,126,682,113,666,125,832,107,819,121
vtd:08031031531,2668,132,1716,93,53,38,636,3683,237,2513,114,64,38,717,648,122,837,120,831,165,803,161,689,133,688,138,1007,247,1009,234
vtd:08031031533,2169,72,1215,123,32,22,705,2852,103,1726,164,40,32,787,663,161,736,157,769,171,754,167,726,138,723,141,922,207,926,201
vtd:08031031220,2286,105,262,133,29,38,1719,2439,137,288,140,32,39,1803,801,108,698,89,1182,128,1139,168,1261,130,1212,159,1638,171,1606,227
vtd:08031031903,1328,33,133,57,21,24,1060,1591,50,177,80,21,34,1229,735,273,728,318,800,238,782,264,800,235,769,264,985,229,952,266
